epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3572.17,0.60236,0.62496,0.93936,0.76562,0.87539,0.85738,0.74335,0.53629,0.57671,0.8749,0.000990365,0.000990365,0.000990365
43,3633.43,0.59764,0.6199,0.93222,0.7266,0.91135,0.86001,0.73087,0.58382,0.58926,0.88327,0.000973861,0.000973861,0.000973861
44,3693.19,0.59907,0.61264,0.93476,0.73802,0.89771,0.86834,0.74682,0.58993,0.57163,0.88096,0.000957358,0.000957358,0.000957358
45,3751.66,0.58237,0.60944,0.92818,0.74302,0.90394,0.86879,0.75053,0.55899,0.55044,0.881,0.000940855,0.000940855,0.000940855
46,3813.26,0.59624,0.62189,0.93524,0.7231,0.91476,0.85899,0.74186,0.56709,0.57032,0.88296,0.000924352,0.000924352,0.000924352
47,3872.35,0.58596,0.60597,0.92694,0.72703,0.9076,0.86163,0.73258,0.62594,0.55997,0.89283,0.000907848,0.000907848,0.000907848
48,3931.83,0.59227,0.60931,0.93556,0.75257,0.9094,0.86106,0.74578,0.59042,0.555,0.88159,0.000891345,0.000891345,0.000891345
49,3993.03,0.57396,0.5965,0.92782,0.74204,0.91493,0.86836,0.74591,0.58471,0.55109,0.8788,0.000874842,0.000874842,0.000874842
50,4052.82,0.58405,0.59688,0.92876,0.7316,0.91725,0.87054,0.75057,0.57547,0.57306,0.87593,0.000858338,0.000858338,0.000858338
51,4111.93,0.5815,0.59976,0.93007,0.74419,0.90771,0.86864,0.7564,0.5534,0.54069,0.87667,0.000841835,0.000841835,0.000841835
52,4173.66,0.57159,0.58598,0.92357,0.73802,0.89198,0.85923,0.75759,0.52093,0.55702,0.86846,0.000825332,0.000825332,0.000825332
53,4232.56,0.56959,0.58677,0.91994,0.74485,0.88368,0.87332,0.75718,0.55721,0.54127,0.87971,0.000808828,0.000808828,0.000808828
54,4291.95,0.567,0.5865,0.924,0.74895,0.90721,0.87844,0.76547,0.55467,0.5394,0.87574,0.000792325,0.000792325,0.000792325
55,4352.97,0.56656,0.59178,0.92848,0.75645,0.87326,0.86943,0.74708,0.59571,0.55044,0.88406,0.000775822,0.000775822,0.000775822
56,4412.19,0.57561,0.59248,0.92911,0.77083,0.87405,0.87276,0.74586,0.60451,0.54714,0.89361,0.000759318,0.000759318,0.000759318
57,4472.2,0.56162,0.59131,0.91543,0.74802,0.89333,0.87126,0.76476,0.54371,0.53723,0.87934,0.000742815,0.000742815,0.000742815
58,4533.9,0.56153,0.58397,0.92098,0.73124,0.9231,0.86574,0.75486,0.54896,0.55353,0.88285,0.000726312,0.000726312,0.000726312
59,4593.47,0.55557,0.57155,0.91787,0.73143,0.92299,0.86952,0.7544,0.60409,0.55761,0.8941,0.000709809,0.000709809,0.000709809
60,4653.82,0.55945,0.5783,0.92328,0.73941,0.92324,0.87181,0.77531,0.51911,0.53913,0.87276,0.000693305,0.000693305,0.000693305
61,4717.65,0.55228,0.58433,0.91838,0.73138,0.90934,0.86168,0.75804,0.55353,0.54914,0.87939,0.000676802,0.000676802,0.000676802
62,4777.28,0.5529,0.58106,0.91952,0.73746,0.9184,0.87269,0.76365,0.54977,0.54982,0.8803,0.000660299,0.000660299,0.000660299
63,4838.93,0.55356,0.57683,0.91748,0.73738,0.93025,0.87297,0.76812,0.54217,0.52942,0.88232,0.000643795,0.000643795,0.000643795
64,4899.44,0.55071,0.55988,0.91568,0.76052,0.87481,0.86698,0.75948,0.53354,0.53428,0.87683,0.000627292,0.000627292,0.000627292
65,4957.96,0.54553,0.56029,0.91426,0.76894,0.86776,0.87009,0.75632,0.5484,0.53714,0.87518,0.000610789,0.000610789,0.000610789
66,5019.52,0.54134,0.56313,0.91337,0.75605,0.89564,0.87666,0.76792,0.54826,0.52738,0.87605,0.000594286,0.000594286,0.000594286
67,5079.67,0.54728,0.56972,0.91664,0.73783,0.92374,0.86834,0.76502,0.52183,0.52789,0.87257,0.000577782,0.000577782,0.000577782
68,5140.38,0.53895,0.55784,0.91081,0.73201,0.92456,0.87531,0.78606,0.5101,0.5237,0.87192,0.000561279,0.000561279,0.000561279
69,5201.79,0.53706,0.55752,0.91176,0.74977,0.91257,0.87684,0.77793,0.54207,0.52426,0.87578,0.000544776,0.000544776,0.000544776
70,5262.07,0.53462,0.55624,0.91017,0.73851,0.924,0.87043,0.76832,0.5387,0.53953,0.87049,0.000528272,0.000528272,0.000528272
